ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Iba1_nuc
1,1,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,2081,5940,485,300,386,240,431.6962999,269.2023066,2081,-1.01E-11,1008370.062,6885470.691,-1.51E-12,357789.8578,-721513.0696,342099582.3,332515.8289,-1036831.516,202669231.6,-892774538.2,5.82712315,3680,0.920129695,51.47437705,0,0.3503367,0.171611269,0.309633299,0.051660752,0.002678322,0.000890518,1.36E-06,9.80E-05,-2.27E-07,558.6687113,85.67818462,484.5603371,-171.9316952,-171.9316952,159.7865588,94.54469515,103.7304198,15,4.854032528,3.605551275,45.2948756,37.02500444,nan,nan,0.232849754,0.034854065,nan,0.082619748,-0.003652279,0.037960883,0.076783546,-0.005248413,0.022489074,-0.002171648,-9.26E-05,0.015415406,-0.001397951,0.006418153,66.68232396,390.3624817,0.56548913,2081,95094,5353814,343692522,60770,3134754,188321550,12521161176,2107140,116148248,7235504136,4.90E+11,0.246246421,0.025379199,0.123046186,0.041046881,0.0359912,0.004636016,0.040826131,0.035956448,0.014207944,0.027419413,0.011611309,0.002929282,0.014030711,0.015445812,0.00948507,0.008644807,0.013413826,0.011996482,0.010433296,0.001768458,0.008812922,0.00368979,0.001562485,0.006413723,0.006509597,0.008708805,0.008750187,0.007516792,0.009006552,0.000699154,431.6962999,269.2023066,0,1,1
1,2,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,5970,19481,414,543,253,422,319.4170854,483.4333333,5970,5.82E-11,9542581.457,321778169.8,5.64E-11,1684785,134019862.8,11407884984,3953325.967,17080342.78,7809992773,4.01E+11,12.23531202,14072,0.807410841,87.18509094,1,0.306452441,0.08173065,0.378663486,0.033531181,0.032846341,0.016936416,0.00039946,0.00307876,-1.24E-06,1676.909412,583.7115969,1598.422355,-282.2085427,-282.2085427,662.1986544,163.8003376,170.0735135,21.09502311,5.462159181,4,110.3424505,96.64049643,nan,nan,0.267742438,0.116847856,nan,0.047271113,0.048666862,0.053614485,0.110921048,0.006202414,0.036705204,0.024401839,-0.006298867,0.014121995,0.014256741,0.015701002,74.45783474,958.0752519,0.424246731,5970,396510,35877620,3972246018,366757,26043716,2561898670,3.04E+11,26484431,1983102976,2.07E+11,2.58E+13,0.254777725,0.063183803,0.069000366,0.047716977,0.04969058,0.013546602,0.000920778,0.027393599,0.005710067,0.009174083,0.017340059,0.011629272,0.016163277,0.019903984,0.003691747,0.002844817,0.004268863,0.020493346,0.003219077,0.006447305,0.011669696,0.013594863,0.006700957,0.000460963,0.004281468,0.010309531,0.013671946,0.00971063,0.006307342,0.00055477,319.4170854,483.4333333,0,2,2
1,3,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,7411,47700,930,630,718,405,806.8407772,494.6559169,7411,-1.46E-10,16935784.12,518986005.6,-3.64E-11,4455899.982,-227875096.4,19961008109,13193008.59,-260413744.9,17964506934,-7.59E+11,28.42755328,28297,0.696983702,97.13896369,0,0.155366876,0.035177139,0.54856501,0.030972221,0.139082165,0.006487054,-0.000194331,0.001014937,-1.43E-05,2684.835857,1380.579432,2285.222523,-601.2548889,-601.2548889,1780.192766,207.2616069,235.9067612,17.4642492,4.101896766,2.828427125,176.7544525,148.6245973,nan,nan,0.308355488,0.109764932,nan,0.081130062,-0.048195316,0.049040177,0.240209522,-0.055077202,0.044135176,-0.021669656,0.107324887,0.020570544,-0.019240926,0.018091238,56.39070975,1627.095634,0.261900555,7411,658399,75428463,10229285731,664440,63485266,7326464148,9.82E+11,72763986,7002990922,7.83E+11,1.01E+14,0.155549441,0.01445453,0.069467114,0.013100173,0.016841392,0.023370509,0.032666166,0.012800191,0.003881103,0.008971422,0.021001065,0.007746114,0.02022888,0.010014552,0.003694629,0.006306922,0.004999904,0.009753994,0.004457188,0.003689192,0.008350837,0.007277588,0.007809359,0.010449408,0.005312596,0.004692827,0.006190474,0.00368527,0.005376066,0.001795532,806.8407772,494.6559169,0,3,3
1,4,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,9819,47008,784,1000,558,792,667.4833486,899.3735615,9819,0,24782078.03,416322220.3,2.04E-10,6435780.077,248904788,36510920096,21196857.78,32081544.13,43718740892,2.00E+11,35.70243818,32855,0.671069959,111.8120704,0,0.20887934,0.028009292,0.476896786,0.019206325,0.008261245,0.002591914,1.20E-05,0.000314621,1.44E-09,3021.717082,1660.932455,2523.890216,-655.4414989,-655.4414989,2158.759321,219.8805888,234.3864331,19.79898987,3.725666634,2.828427125,187.9069465,163.0181563,nan,nan,0.257041472,0.043577413,nan,0.066752368,0.026053442,0.038567456,0.219855313,0.00335805,0.046181269,0.002134911,-0.006330953,0.016256576,0.002591274,0.006463533,52.78227357,2098.879472,0.298858621,9819,1075017,142478539,21441799551,1054301,121864184,16956554460,2.65E+12,134400911,16128808592,2.30E+12,3.66E+14,0.22711577,0.009153963,0.071817246,0.022281877,0.022993711,0.012122686,0.003437218,0.014497391,0.011767618,0.025402613,0.010805486,0.005632052,0.012347959,0.006878899,0.016960037,0.009567874,0.005709378,0.001902295,0.005489734,0.001205836,0.006601704,0.011951859,0.010804933,0.004779453,0.007288505,0.009628236,0.00525662,0.005104289,0.000919606,0.001300734,667.4833486,899.3735615,0,4,5
1,5,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,12010,57912,1094,1025,866,771,964.4626145,904.5342215,12010,-5.82E-11,36932989.71,823091296.6,-3.49E-10,13652097.87,152916603.9,93635865746,37038586.43,-168174578.2,1.59E+11,3.79E+12,41.96712967,45544,0.734307725,123.6592371,-7,0.207383617,0.023828172,0.512836418,0.035833831,0.007053951,0.003196463,-9.44E-06,0.000603247,1.19E-05,4216.318737,1942.846637,3075.186487,-1136.727549,-1136.727549,3083.978887,259.7327469,292.0770446,20,3.839666599,3,220.6243917,176.3109361,nan,nan,0.256052164,0.052070349,nan,0.094648422,0.0096738,0.054052179,0.256784254,-0.010639049,0.09174622,0.019976427,0.028795805,0.064570674,0.015445341,0.040765213,44.88920721,2516.697798,0.263701036,12010,1182536,153368576,23197199726,1603746,171561122,23321312498,3.63E+12,251193560,28211044602,3.98E+12,6.38E+14,0.178976195,0.030337004,0.065487584,0.014133302,0.019866691,0.00693239,0.029229866,0.014670767,0.014675778,0.005967002,0.010867111,0.010397544,0.019175803,0.008834923,0.007544677,0.010316873,0.007553234,0.00632899,0.016325317,0.004386724,0.01152807,0.001176298,0.004608951,0.004891018,0.005187431,0.004487022,0.001600422,0.012063924,0.002367551,0.003572724,964.4626145,904.5342215,0,5,6
1,6,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,5054,25102,530,997,376,834,456.0150376,921.6248516,5054,3.64E-11,4730942.857,47079729.99,3.64E-11,1497416.511,115151171,1149785802,8086124.719,-133670509.7,9666872172,-1.86E+11,18.24570097,14596,0.720758624,80.21815667,-3,0.201338539,0.054807431,0.501785606,0.031000939,0.135718663,0.002669584,-4.78E-05,-2.43E-05,-1.74E-05,1712.943228,823.0812226,936.0789191,-296.2834411,-296.2834411,1599.945532,165.5508733,166.0873264,18,3.997041757,3,137.9158871,114.7575686,nan,nan,0.185215457,0.025926618,nan,0.058623554,0.063413287,0.008906585,0.316570149,-0.073611812,0.074882488,-0.020288375,-0.083305659,0.029788173,0.017923664,-0.0067351,20.87603942,1076.472222,0.346259249,5054,404396,37088704,3771826916,442856,36932556,3604675032,3.88E+11,46891316,3880761702,3.87E+11,4.28E+13,0.189609266,0.030801776,0.066282515,0.015047175,0.024852646,0.035450956,0.026571553,0.007699794,0.011782943,0.021667082,0.020536104,0.009294505,0.018672487,0.006589973,0.012721235,0.015396535,0.018397273,0.003105743,0.010076851,0.007086907,0.004278527,0.006152391,0.007087403,0.009399996,0.004619892,0.007185577,0.003282694,0.004878286,0.008693682,0.008064027,456.0150376,921.6248516,0,6,7
1,7,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,7207,29370,301,1078,123,913,216.1910642,992.5033995,7207,-1.46E-11,8022463.905,3149328.751,4.09E-11,-331087.1811,-24843696.7,975501120.9,7078713.667,50030626.21,5904388860,1.03E+11,24.5925994,18289,0.376640218,95.79267926,-2,0.245386449,0.040662639,0.290737981,0.000492666,0.001184917,0.000338962,2.04E-07,3.40E-06,6.73E-08,1127.657878,967.6907514,1113.14887,45.93966714,45.93966714,982.1997595,134.3224704,178.4880948,19.6977156,4.434022715,3,143.8251363,124.4309126,nan,nan,0.154453846,0.000714219,nan,-0.006374312,-0.00563417,0.002605939,0.136284135,0.011346179,0.015772894,0.00322946,-0.008276564,-0.009444504,-0.005765528,-0.00159897,-72.47245288,1492.397149,0.394062004,7207,671628,70612192,8078818548,572981,53065622,5527356878,6.28E+11,52632651,4902278274,5.09E+11,5.75E+13,0.276695507,0.01652627,0.134906569,0.004398209,0.017883085,0.006821749,0.043513849,0.003495106,0.009622423,0.016212514,0.00753532,0.014420275,0.012466972,0.00876,0.00732158,0.004010112,0.010333305,0.010270932,0.013901951,0.002619799,0.000954753,0.007357441,0.004610635,0.003762098,0.003702526,0.005451381,0.004821105,0.009324195,0.004202451,0.005024697,216.1910642,992.5033995,0,7,8
1,8,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,8684,46314,1791,1210,1605,961,1722.93632,1106.030401,8684,0,14885259.78,-428871687.9,-1.20E-10,-4921383.188,-154643554.6,-10085516581,32120369.97,644648627.7,40592527168,1.02E+12,34.52832947,30170,0.770563012,105.1513776,-1,0.187502699,0.028961726,0.623318829,0.069268977,0.117361245,0.024566666,0.000931853,0.006415623,-0.000933652,3849.221344,1563.679365,1714.101772,566.7184694,566.7184694,3698.798938,248.1683733,260.2786968,15.62049935,3.570397075,2.828427125,180.5100881,158.1735434,nan,nan,0.197386201,-0.061027818,nan,-0.065260072,-0.022005553,-0.015400638,0.425932628,0.091732563,0.061985006,0.016635589,-0.131695079,-0.08628488,-0.026239861,-0.018941815,-14.86508677,1941.121067,0.287835598,8684,1024159,135670803,19082669017,1259444,143612807,18360927731,2.50E+12,214778038,24547279623,3.11E+12,4.18E+14,0.163212225,0.030022498,0.047840388,0.023003876,0.02122587,0.022493053,0.001947852,0.008871971,0.002038146,0.009740512,0.019146,0.008330049,0.003757661,0.004596675,0.00895938,0.00843029,0.006478985,0.003295401,0.010333591,0.002378453,0.002371651,0.008362425,0.008625769,0.008489086,0.007422256,0.002595923,0.004211434,0.007681464,0.004683403,0.003864911,1722.93632,1106.030401,0,8,10
1,9,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,6717,32786,217,1421,48,1227,122.3370552,1339.310406,6717,2.91E-11,9378838.907,87510414.6,-1.46E-11,4007259.24,131718513.8,12320121959,9070693.803,-32868787.04,13441834124,3.14E+11,21.23409665,18661,0.77846188,92.47891664,-1,0.204874032,0.047094068,0.408916537,0.031600577,0.030287059,0.000799636,-1.43E-06,-0.000129049,3.67E-06,1970.371657,776.3207221,1396.283893,-596.5846717,-596.5846717,1350.408486,177.5554745,213.3775996,16.97056275,4.244724188,3.16227766,130.3127949,111.4501303,nan,nan,0.207873142,0.02366581,nan,0.088817131,0.035621192,0.040652659,0.201043395,-0.008888844,0.044353969,0.012650098,-0.059730884,0.047311043,0.009632507,0.015667698,46.10092215,1338.780879,0.359948556,6717,499322,46496966,4938348476,754389,60086316,5949587366,6.63E+11,93796429,7839795364,8.09E+11,9.31E+13,0.187839886,0.0479321,0.072723041,0.009405642,0.038711341,0.006627396,0.014111085,0.009334517,0.0120921,0.017362926,0.0095076,0.002195745,0.012426971,0.004535936,0.009854214,0.006621718,0.01149928,0.007007642,0.005787761,0.004569707,0.01025589,0.007413193,0.004537147,0.010377824,0.005716381,0.012642519,0.007572223,0.005983868,0.004702619,0.002185818,122.3370552,1339.310406,0,9,11
1,10,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,6503,46494,1127,1492,881,1303,1009.603414,1375.830694,6503,4.37E-11,16693788.2,-50639293.74,-5.82E-11,-4224351.641,-406332792.5,-1442935709,11292650.59,-15781987.95,19480130645,-1.75E+11,22.79561688,24895,0.726342709,90.99382814,-1,0.13986751,0.043868082,0.661789894,0.056226296,0.232941222,0.000415777,-3.20E-06,9.08E-05,-2.55E-06,2922.808275,1380.811408,2567.090297,649.6004369,649.6004369,1736.529385,216.2520113,246.0772237,17.49285568,3.955321504,3,181.2946512,148.6370833,nan,nan,0.394754774,-0.014849207,nan,-0.099892425,-0.119150944,-0.005246935,0.26703512,-0.004627829,0.070835441,-0.007905772,0.125186049,-0.044347017,-0.02478002,0.001778524,-61.29510563,1364.858044,0.261217112,6503,836308,124245852,20221557730,473618,56684540,7556046692,1.10E+12,45786578,5257203330,6.44E+11,8.43E+13,0.129565629,0.014274453,0.056643276,0.011035463,0.009644422,0.017037179,0.019641656,0.018847207,0.010876295,0.005781748,0.016912405,0.001288865,0.01424025,0.016870003,0.011349613,0.003194939,0.009102911,0.007717263,0.003061179,0.006935521,0.012155922,0.011747687,0.004990238,0.004907105,0.001622455,0.009301303,0.003570208,0.00607674,0.007794401,0.001103636,1009.603414,1375.830694,0,10,12
1,11,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,9927,50730,315,1618,48,1428,175.7240858,1526.080387,9927,1.16E-10,41403055.27,266835882.8,1.16E-10,-15184509.82,-432352615.8,-1.73E+11,19369063.85,298460172,1.19E+11,5.30E+12,39.77649018,37358,0.873752025,112.4253039,-2,0.195683028,0.025140479,0.616692031,0.144964243,0.018686594,0.006379025,6.77E-05,0.002020368,-1.65E-05,4950.762334,1171.139461,4170.752017,1529.617188,1529.617188,1951.149779,281.4466154,309.0129447,14.86606875,3.537014227,2.828427125,182.7032081,136.8876597,nan,nan,0.42014224,0.027176854,nan,-0.154086551,-0.044034497,-0.17681622,0.196549791,0.030397742,0.12120742,0.054416754,-0.011320634,-0.057583824,-0.036391005,-0.078216636,-62.98122605,2227.548519,0.265726217,9927,1267917,203346595,36815428605,973644,109173280,15633104810,2.53E+12,114864444,11990811082,1.62E+12,2.48E+14,0.132365497,0.012816568,0.061994767,0.021283962,0.01236544,0.001285504,0.020460185,0.013330695,0.012141365,0.007225365,0.002890722,0.000401432,0.003362779,0.007326435,0.010752244,0.006938782,0.006464279,0.006361397,0.002576634,0.000936941,0.006384862,0.01164739,0.006095453,0.005843023,0.005032585,0.008102879,0.004625929,0.006809014,0.000958403,0.000943036,175.7240858,1526.080387,0,11,13
1,12,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,6613,38940,1376,1596,1156,1419,1259.90564,1525.046272,6613,1.46E-11,11532569.12,44338621.2,-2.55E-11,1216271.874,256313999.4,2913525348,10638697.84,-223144272.3,26161720812,-8.46E+11,27.23219347,24156,0.457506057,91.76019349,-2,0.169825372,0.036721243,0.50698308,0.003511837,0.131407651,0.002712204,-5.03E-05,0.000123829,9.82E-06,1872.285245,1480.393866,1743.923956,-183.921348,-183.921348,1608.755155,173.0796462,236.292192,18.02775638,3.720542742,2.828427125,172.3208155,153.9035472,nan,nan,0.263711471,0.012467687,nan,0.02781209,0.072073568,0.010074494,0.24327161,-0.06274649,0.090462948,-0.035965825,-0.085647295,0.038479454,-0.003610095,0.009182775,55.08827128,1504.338275,0.273762212,6613,687128,82929044,11057732006,701284,74083635,9303385013,1.29E+12,85007252,8867550883,1.14E+12,1.62E+14,0.137104796,0.003091464,0.077085818,0.003499154,0.007032549,0.014034271,0.042985106,0.003782188,0.005397004,0.004624851,0.013015035,0.006095348,0.023263825,0.006748312,0.003009871,0.003412157,0.002661987,0.007256711,0.004738708,0.003692887,0.011140613,0.006377578,0.005805174,0.005143309,0.004743426,0.004274499,0.004051933,0.002329896,0.004049609,0.003106264,1259.90564,1525.046272,0,12,14
1,13,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,2412,9396,1837,1572,1721,1491,1765.595357,1540.814677,2412,-9.98E-12,1274193.068,21871301.44,-7.36E-12,669024.1244,6296016.419,1106150505,881192.1604,-5547275.216,729129037.2,9752917994,8.151798939,5143,0.886387513,55.41708926,0,0.256704981,0.122672309,0.370484715,0.057460689,0.027998257,0.003385149,1.18E-05,-7.68E-05,-3.08E-05,735.8943359,157.714797,528.2724162,-277.3731859,-277.3731859,365.3367166,108.5094898,128.351081,17.4642492,4.699313715,3.16227766,61.72677917,50.23382079,nan,nan,0.219018415,0.076547563,nan,0.114997175,0.022035484,0.078828327,0.1514663,-0.019414958,0.0519604,0.014151876,-0.033036155,0.041140748,-0.002844255,0.023504125,53.18407488,497.0731599,0.468986973,2412,107564,6071048,406258040,120153,6027290,368394048,26177639486,6866575,367324526,23624373780,1.75E+12,0.186418222,0.037496775,0.090437802,0.028886594,0.03686335,0.008274265,0.047421677,0.011103585,0.015162548,0.027718643,0.00345305,0.007850889,0.027789143,0.005692922,0.011807693,0.008796752,0.018059699,0.004247271,0.008213589,0.004616194,0.005073512,0.000486028,0.005138679,0.011508558,0.003768612,0.006746528,0.002239321,0.004179574,0.004589103,0.002828426,1765.595357,1540.814677,0,13,15
1,14,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,6130,23814,691,1669,502,1543,587.8768352,1605.2354,6130,-1.46E-11,9449618.011,-1629341.646,-1.09E-11,-2061001.273,-10291783.35,-5423659513,4312815.318,19132939.77,6202232344,1.93E+11,20.41556553,16859,0.804570644,88.34567567,1,0.257411607,0.048982234,0.366247171,0.030720204,0.000650247,3.84E-05,-5.97E-09,2.14E-06,-1.15E-09,1659.755645,585.3395144,1541.53638,336.2155421,336.2155421,703.5587795,162.960395,194.2395428,23.08679276,4.927564694,3,109.4877399,96.77516329,nan,nan,0.251474124,-0.00055381,nan,-0.05484756,-0.003498158,-0.023545667,0.114773047,0.006503251,0.026925676,0.010700396,0.005244029,-0.01750224,-0.006328896,-0.010624165,-70.62743388,1254.052957,0.36360401,6130,526425,54657331,6315175845,381503,30701269,3037344523,3.39E+11,28055807,2171942379,2.08E+11,2.27E+13,0.20299728,0.025243166,0.101943774,0.024489586,0.011524516,0.007412817,0.046587662,0.015673948,0.004913945,0.010961746,0.006196376,0.007990196,0.03161137,0.007143412,0.003169404,0.001136095,0.010589025,0.010170408,0.005830798,0.007078337,0.019846414,0.00398841,0.004483793,0.002407716,0.001628148,0.007295465,0.005524027,0.001760328,0.008302095,0.004198047,587.8768352,1605.2354,0,14,16
1,15,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,3978,16226,1681,1765,1548,1643,1614.811966,1691.704625,3978,2.91E-11,3951849.35,-9697049.202,-1.82E-11,-1505313.94,23143969.34,-3816272236,1832457.935,-15855893.89,3072474846,-77030581540,17.39277056,9668,0.881981799,71.1684404,0,0.245162086,0.057495153,0.365528967,0.054133093,0.005601559,0.001453114,3.82E-06,0.000256091,-1.62E-06,1189.808187,264.2660427,993.4261816,378.4097386,378.4097386,460.648048,137.9743853,176.1391495,17.80449381,3.840708771,2.828427125,74.21512165,65.02504658,nan,nan,0.249730061,-0.00971578,nan,-0.095125626,0.023188673,-0.060624059,0.115798906,-0.01588652,0.048808336,-0.019401551,0.005053787,-0.038208074,0.017781131,-0.030621832,-62.57219624,932.4417382,0.411460488,3978,265778,21709000,1968785564,193747,11439304,879326716,76553137288,11268833,590405488,43291302468,3.66E+12,0.163253728,0.022477708,0.095853234,0.01927741,0.025990034,0.003800257,0.04015317,0.01979848,0.005544669,0.017050718,0.007316411,0.000505135,0.015146164,0.010860098,0.004835584,0.003268658,0.006739458,0.009480858,0.000593661,0.001103413,0.010563058,0.006537625,0.003769229,0.002792292,0.002727171,0.001999151,0.007623882,0.00180492,0.001837574,0.001254159,1614.811966,1691.704625,0,15,17
1,16,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,3585,8804,397,1888,326,1764,359.9916318,1831.176569,3585,-7.33E-12,813845.749,2119441.276,-3.14E-11,-801266.7029,-4244482.326,-433524411.9,3494997.232,-5470012.445,1119790309,594717638.6,7.635480409,6699,0.916802278,67.5615554,-1,0.407201272,0.130967529,0.335260469,0.059067109,0.000758074,0.001273157,9.59E-07,0.000219235,8.03E-07,1036.598676,165.3101051,227.0141559,223.5053565,223.5053565,974.8946253,128.7850101,133.5402561,17.20465053,4.919999053,3.605551275,65.85382042,51.42919095,nan,nan,0.063323335,0.002754219,nan,-0.06234459,-0.005515715,-0.009409057,0.271937134,-0.007108295,0.024303523,0.000215575,-0.029898962,-0.031990702,-0.006482736,-0.00509097,-15.43345261,586.4995667,0.535154501,3585,121860,4956066,225912102,240828,7384870,274214302,11532219622,19672996,555594528,19262504696,7.63E+11,0.255961631,0.022090522,0.114138184,0.051252478,0.021467956,0.013282817,0.036761826,0.042560798,0.017394854,0.014265528,0.016010972,0.009443152,0.023398669,0.01212623,0.017594535,0.010186493,0.006792348,0.006024193,0.015072609,0.005392691,0.008501759,0.006309193,0.008047556,0.009634676,0.007727799,0.001960648,0.003002205,0.006479435,0.011340352,0.001994747,359.9916318,1831.176569,0,16,18
1,17,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO/11-5-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,11/5/2004,0,slice1,5498,24964,834,2017,676,1859,746.7442706,1938.428883,5498,0,7052618.445,93560698.67,-2.46E-11,427913.0098,158257.8493,941919352.9,5622302.693,-142493165,7188351747,-2.37E+11,20.42192393,16124,0.482121796,83.66762227,1,0.220237141,0.048966983,0.419310555,0.003040542,0.054069123,0.00050842,-1.98E-06,1.41E-05,1.79E-06,1304.26763,1001.101802,1282.760721,-77.83066748,-77.83066748,1022.608711,144.4585826,166.4331698,18.97366596,4.258434307,3,143.565907,126.5607713,nan,nan,0.233314063,0.041742804,nan,0.014156178,7.06E-05,0.005667604,0.185996492,-0.063574389,0.043252888,-0.019254479,0.005568672,2.05E-06,0.001428825,-0.000535877,74.55295396,1187.833657,0.340982387,5498,388952,34568744,3536965976,436700,31321936,2806459776,2.88E+11,40308896,2777107588,2.43E+11,2.46E+13,0.218313031,0.012140247,0.091453143,0.007703995,0.011662186,0.030014764,0.030223815,0.00361033,0.003242481,0.019465441,0.025051661,0.004234044,0.01427567,0.008828137,0.009707929,0.00973082,0.01504999,0.020281482,0.008414036,0.006753433,0.011919628,0.013215571,0.008789824,0.004043903,0.004818638,0.005453737,0.013026883,0.010495822,0.002325734,0.004649289,746.7442706,1938.428883,0,17,19
