ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Iba1_nuc
1,1,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,7917,38038,491,259,225,116,383.0570923,166.4626753,7917,1.16E-10,41114996.19,-1663610961,-7.28E-11,12024410.87,-91125866.66,1.37E+11,7083780.221,221708177,55773509005,-65881479791,16.18090251,20674,0.962997226,100.4003858,0,0.208133971,0.06180125,0.768979431,0.442002348,0.181413135,0.067192721,0.006790186,0.032404624,-0.002987962,5675.744814,412.2653435,5193.25454,-1518.809002,-1518.809002,894.7556171,301.3501568,283.1289459,17.69180601,4.737124511,4,99.89532643,81.21727339,nan,nan,0.655962428,-0.298297876,nan,0.191841481,-0.016339549,0.275086532,0.113017004,0.039753933,0.112394752,-0.001492111,0.034987624,0.058986049,0.027506758,0.073600353,72.37615869,1268.780879,0.382944762,7917,1251338,238897842,49092920810,399513,75170274,15765385192,3.47E+12,27244275,5741426948,1.29E+12,2.96E+14,0.125743307,0.029463019,0.035541402,0.032509814,0.028232585,0.010416758,0.008323653,0.017544664,0.016265665,0.019187758,0.015527974,0.006164274,0.005489956,0.012506633,0.007372858,0.009504292,0.010657843,0.015774554,0.008230319,0.004263757,0.0017085,0.004561932,0.008272166,0.006975464,0.005511519,0.008259362,0.006461525,0.007288994,0.006813502,0.002902763,383.0570923,166.4626753,0,1,1
1,2,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,5883,28819,1017,313,838,152,898.5563488,233.836648,5883,1.16E-10,11416618.07,425183164.6,2.91E-11,8782842.651,318633783.2,38900300048,9972096.019,176597327.4,31582966795,1.78E+12,11.88556026,14865,0.950540841,86.54749125,0,0.20413616,0.084135706,0.61799787,0.259335461,0.122726063,0.068821273,0.006292396,0.031798101,-0.000640225,3315.799318,319.8821524,1940.611605,-1492.91903,-1492.91903,1695.069865,230.3319107,218.6869909,22.09072203,5.403810619,4.123105626,105.1609705,71.54099831,nan,nan,0.329867687,0.160169175,nan,0.253768321,0.120031352,0.191054119,0.288130183,0.066525325,0.155115922,0.114209285,0.011994694,0.13764607,0.07753756,0.115337413,47.35058292,937.3767671,0.395761857,5883,356253,32989999,3805634463,481445,37937394,4082138484,5.05E+11,49371941,4603898612,5.37E+11,6.88E+13,0.156625716,0.050357443,0.028988276,0.033823117,0.041214109,0.023091237,0.028772607,0.021621588,0.007708003,0.008442302,0.029595454,0.010666167,0.017322641,0.008795508,0.003521214,0.003094904,0.005351161,0.011560018,0.013272867,0.006116832,0.009542647,0.005823303,0.011986985,0.003080865,0.00038084,0.005417208,0.003485507,0.001687309,0.008503232,0.002066468,898.5563488,233.836648,0,2,2
1,3,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,13159,54684,847,368,553,182,717.8501406,258.6444259,13159,1.75E-10,88240986.48,-1771902493,2.33E-10,-14598476.19,754868930.1,-2.39E+11,27449257.27,-170110741.1,2.46E+11,-1.13E+13,39.32817005,44138,0.858208633,129.4394035,-3,0.240637115,0.025427067,0.6681146,0.151683419,0.010809472,0.01441603,0.00010551,0.003948255,-0.000145783,6958.348637,1833.371383,6705.751689,1109.391002,1109.391002,2085.968331,333.6668671,333.3976605,16.1245155,3.756422932,3,167.9755493,171.271545,nan,nan,0.509594322,-0.089203645,nan,-0.084306634,0.038002689,-0.104778563,0.158520277,-0.008563958,0.107930883,-0.043305052,0.031693266,-0.040427915,0.040581138,-0.057332756,-77.17301648,2550.164789,0.298133128,13159,2169263,445844297,1.01E+11,1008564,151663441,30113227395,6.67E+12,104750066,14860168713,2.93E+12,6.50E+14,0.15073285,0.022081981,0.048885284,0.030578999,0.011763614,0.007529402,0.009010943,0.028854794,0.011518361,0.01568356,0.005979377,0.005108275,0.017426931,0.015848498,0.005138637,0.009648378,0.011507416,0.004366592,0.004193429,0.004196456,0.006876968,0.0043775,0.000920626,0.008835531,0.005850071,0.002957096,0.006330019,0.00067074,0.003978727,0.002858206,717.8501406,258.6444259,0,3,3
1,4,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,5707,14532,1261,338,1088,254,1179.923953,292.6863501,5707,4.37E-11,9227532.996,-87014232,6.00E-11,73891.87594,41975307.69,1045122641,1989470.567,29896346.24,2215597132,54270002286,9.533669475,9920,0.885718799,85.24305298,0,0.392719516,0.104891406,0.34439839,0.049407647,0.007462053,0.000948343,2.33E-08,2.45E-05,-2.52E-06,1617.011961,348.469651,1616.879796,-12.94758646,-12.94758646,348.6018165,160.848349,172.0726591,18.38477631,5.216303877,4.123105626,83,74.66936732,nan,nan,0.283315191,-0.035364751,nan,0.00226872,0.017059811,0.005622684,0.061083199,0.01215062,0.011919751,0.003864847,0.003174981,0.001182969,0.001340687,0.000947742,89.41516055,826.8731957,0.575302419,5707,524610,57451758,6890641092,220783,20369138,2278158998,2.81E+11,10530759,1003642556,1.15E+11,1.44E+13,0.245411128,0.03769672,0.103504688,0.038769337,0.03991651,0.009768091,0.020407569,0.021946139,0.016376857,0.022500904,0.021473321,0.000890397,0.002881075,0.005729409,0.007919623,0.011927312,0.010852088,0.023959517,0.004170603,0.000741388,0.002135601,0.011195882,0.011279144,0.011735438,0.00808027,0.003063655,0.014215323,0.005162167,0.002756595,0.001118633,1179.923953,292.6863501,0,4,4
1,5,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,6052,20972,189,367,82,171,137.2043952,278.1754792,6052,-3.50E-12,3174644.163,-25999833.16,4.55E-11,-412169.0677,44649004.47,-1264776842,11446785.64,-112980248.4,6393221823,-1.68E+11,22.10011546,14049,0.851435603,87.78180748,-5,0.288575243,0.045248632,0.399201353,0.051514769,0.029429706,0.007154743,4.25E-05,0.000389539,-9.47E-05,1894.790435,521.1761557,524.5611638,68.10460472,68.10460472,1891.405426,174.1167624,196.7256974,16.55294536,3.701608922,2.828427125,103.8361754,91.31713142,nan,nan,0.086675671,-0.009124798,nan,-0.011253239,0.015669837,-0.005705808,0.312525682,-0.039651099,0.028841843,-0.009753603,-0.084775947,0.004925438,0.005698228,-0.004382497,-2.845434705,1296.437734,0.430777991,6052,334097,21618267,1517932145,648626,35394837,2316090041,1.65E+11,80963588,4268216829,2.77E+11,1.97E+13,0.199107148,0.070008051,0.050439654,0.012760313,0.05536884,0.013914483,0.018629547,0.016298688,0.008542248,0.011140248,0.008225283,0.001216248,0.007641341,0.015730543,0.009974893,0.007770199,0.007761159,0.007396286,0.006422586,0.00158066,0.001664881,0.010351079,0.002995703,0.003302416,0.008431597,0.0045076,0.005792326,0.010128855,0.004651572,0.001692042,137.2043952,278.1754792,0,5,5
1,6,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,3647,8075,1598,374,1513,279,1556.676995,319.5349602,3647,3.35E-12,914579.4999,2525370.733,-7.19E-11,339119.1832,-955993.6966,337273103.8,2001767.293,-1625717.173,434439485.7,-497637286.2,4.899529681,5310,0.781356402,68.1432654,-2,0.451640867,0.204101223,0.219264155,0.009281668,0.000188761,3.07E-05,5.22E-10,2.93E-06,-2.28E-09,575.5067526,224.1496205,250.7758431,-92.98579193,-92.98579193,548.8805299,95.95888724,99.3680029,18.43908891,6.011564876,5,64.72354048,59.88650873,nan,nan,0.068762227,0.003144023,nan,0.025496515,-0.001190188,0.006953035,0.150501928,-0.002023977,0.008956163,-0.000169878,0.006619012,0.001965124,-0.000635745,0.000982561,15.97891761,473.8599564,0.686817326,3647,159290,7871888,426237950,147831,6795933,347754087,19430339187,7994091,375024519,19369388597,1.09E+12,0.458896529,0.063186881,0.151376146,0.057669016,0.028609039,0.015626357,0.009174861,0.053500612,0.020415243,0.005795731,0.012388593,0.024166229,0.014022015,0.008993995,0.008782969,0.003761202,0.006634989,0.009902332,0.019233849,0.009145686,0.009341526,0.007397529,0.009814588,0.002083149,0.005049899,0.003062138,0.014193936,0.001897896,0.013363996,0.009132535,1556.676995,319.5349602,0,6,6
1,7,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,1907,3551,1627,325,1574,258,1598.354483,295.8138437,1907,8.53E-14,290258.3692,464931.6628,8.91E-12,97521.84164,1139186.259,27696388.12,468624.9145,831271.3862,57139699.29,237564880.9,3.787872723,2726,0.718769047,49.27542807,-1,0.537031822,0.264000423,0.208676527,0.005282081,0.001746177,0.00018968,-2.34E-09,-6.94E-06,1.09E-07,268.271472,129.6746652,152.2068008,-51.13887868,-51.13887868,245.7393364,65.51597937,69.35416354,14.14213562,4.981303658,4.123105626,50.68365863,45.54991376,nan,nan,0.079814788,0.002927604,nan,0.026816402,0.007173284,0.00399366,0.128861739,0.00523439,0.008239216,0.000784431,-0.018266606,0.003922443,0.000529582,0.000651402,23.77861395,301.2853173,0.699559795,1907,46444,1421378,49220044,72111,1853748,59637140,2145660888,3195419,86029402,2853400034,1.05E+11,0.488503694,0.08478336,0.146185968,0.041771728,0.061218628,0.013803806,0.025210752,0.037243931,0.017101641,0.017131582,0.007722302,0.017667716,0.000693622,0.020265762,0.018736098,0.003590676,0.010241074,0.005400445,0.009735223,0.006838127,0.017310537,0.006607366,0.00402302,0.012850229,0.004066722,0.005007583,0.004948565,0.009866647,0.001634436,0.00199578,1598.354483,295.8138437,0,7,7
1,8,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,5735,18522,1867,408,1720,282,1801.753618,329.4612031,5735,8.73E-11,5490896.862,-70336580.98,-1.46E-10,3171827.68,-8286563.786,4991727524,5732229.118,74282430.1,5583573069,69078616058,11.36171433,11199,0.850039283,85.45190922,-1,0.309631789,0.088014887,0.341229833,0.037254056,0.017880988,0.00251667,9.38E-06,4.91E-05,1.40E-05,1531.941604,425.011488,957.4362445,-553.0649834,-553.0649834,999.516847,156.5601024,164.6147017,20.1246118,5.370075555,4.123105626,97.0767954,82.463227,nan,nan,0.166946163,-0.028238895,nan,0.096436789,-0.003326909,0.026463702,0.17428367,0.029823084,0.029601379,0.004835893,0.053468308,0.038268782,0.011142754,0.009391132,43.91067105,904.8853891,0.512099295,5735,468857,43821653,4410043475,272190,25424345,2590158589,2.76E+11,18650694,1900121661,2.03E+11,2.23E+13,0.264314286,0.068371369,0.079157489,0.032571327,0.058020008,0.003534571,0.030061314,0.031443386,0.016539177,0.020832361,0.015601945,0.004991289,0.023455486,0.006456336,0.018969739,0.007855951,0.005434411,0.016341157,0.006391675,0.001107082,0.000663798,0.009537246,0.008752104,0.011490086,0.000876843,0.005214584,0.004836721,0.003056692,0.00373288,0.005431565,1801.753618,329.4612031,0,8,8
1,9,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,9750,49729,872,609,649,386,777.5182564,503.4007179,9750,-1.16E-10,28989318.25,-1046818404,-3.35E-10,-5054039.828,572697550.6,-59897991319,26632943.39,-134384151.1,89429450532,-3.28E+12,44.97382514,38491,0.560813487,111.4185153,1,0.19606266,0.022235156,0.585112549,0.011920684,0.039872238,0.019028693,0.000523587,0.001825634,-2.41E-05,3384.685361,2320.161987,2973.26341,518.3630593,518.3630593,2731.583938,232.7121952,256.727482,17.08800749,3.364623292,2.828427125,214.9814298,192.6722393,nan,nan,0.304950093,-0.11152181,nan,-0.053165442,0.061011793,-0.064624681,0.280162455,-0.014316489,0.096486536,-0.035789983,-0.004501475,-0.024594622,0.036324435,-0.033207131,-51.56115932,2347.400287,0.253305968,9750,1253053,190029505,30826755517,1144657,142055282,21583225096,3.53E+12,161016497,19372479488,2.94E+12,4.85E+14,0.18772917,0.024597972,0.051719534,0.014527093,0.028529744,0.012315165,0.002464938,0.014189834,0.013343183,0.011403263,0.011009788,0.006263694,0.012553133,0.01224293,0.009277321,0.004930569,0.003546356,0.014574755,0.007317314,0.0016241,0.005155337,0.006198673,0.002045657,0.005313436,0.005789289,0.001265691,0.00914992,0.007009806,0.003633801,0.001776665,777.5182564,503.4007179,0,9,9
1,10,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,8280,30900,1098,596,948,390,1037.07186,481.5074879,8280,5.82E-11,8310898.243,-113822295.1,-3.06E-10,5070468.045,-119410060.9,13370408827,18202167.54,-182278125.8,15879791796,-5.73E+11,21.04513216,19046,0.83455164,102.6763041,-1,0.267961165,0.047516927,0.386722353,0.042694668,0.011919727,0.002312246,-1.12E-05,-0.000424695,-4.71E-06,2456.46583,745.5952545,1003.731672,-612.3753677,-612.3753677,2198.329413,198.2509856,212.0471646,18.38477631,4.241362456,3.16227766,116.9423293,109.2223607,nan,nan,0.121223632,-0.01824532,nan,0.073958378,-0.01914102,0.023553404,0.265498721,-0.029218554,0.02797395,-0.011089804,0.026849902,0.027197885,-0.010554323,0.010580646,22.85702792,1479.775829,0.434736953,8280,737515,74002731,7958272921,757682,72558613,7555665991,8.30E+11,87535744,8542664987,8.91E+11,9.75E+13,0.233042338,0.081722969,0.043763366,0.006661481,0.052199029,0.012835525,0.044602802,0.007849968,0.009434078,0.009294794,0.011458701,0.006226071,0.016680639,0.004563068,0.009142398,0.0003851,0.019840528,0.004577566,0.005542766,0.007097517,0.008360173,0.006742921,0.002332254,0.002194754,0.004187231,0.007091024,0.003420695,0.002542454,0.005970148,0.00503863,1037.07186,481.5074879,0,10,10
1,11,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,5534,20449,1820,619,1699,450,1748.280448,543.1835923,5534,2.69E-11,2670210.744,24930237.03,-9.52E-11,8875.064691,-6951712.135,1193335757,10247017.47,-14354618.08,4082820235,-25363914688,24.15441234,14458,0.85989365,83.94109626,-1,0.27062448,0.041400303,0.421784895,0.061209408,0.001948604,0.002022359,1.99E-06,0.000489438,3.49E-06,1851.649416,482.5081946,482.5100731,-1.603734133,-1.603734133,1851.647537,172.1231845,168.0119043,16.76305461,3.743581497,2.828427125,109.6383032,87.86427666,nan,nan,0.087190111,0.010942801,nan,0.000289797,-0.003051363,0.007041176,0.334594784,-0.006300772,0.024090332,-0.002011774,-0.041679055,-0.007436982,-0.006923395,0.001305245,0.067113078,1296.052957,0.382763868,5534,272718,16109876,1082010510,515678,25421718,1495099140,1.01E+11,58299746,2860337012,1.66E+11,1.11E+13,0.244730131,0.040748772,0.072435227,0.0457994,0.020372525,0.024836344,0.001229032,0.026663131,0.016547444,0.005558617,0.021363616,0.006218196,0.010404355,0.009854907,0.021440957,0.007134377,0.008494561,0.00658834,0.012955812,0.001936856,0.010236664,0.003591817,0.011237639,0.007111623,0.002385398,0.004619545,0.001711389,0.010268787,0.005576534,0.00191152,1748.280448,543.1835923,0,11,11
1,12,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,2127,5852,248,755,171,679,208.0314998,709.9572167,2127,-1.83E-12,550550.8895,-1056917.737,2.26E-11,-422205.1335,2843731.179,-274049222.3,779383.1067,-5001631.134,284453835.6,-4462183550,6.699577227,3429,0.890843406,52.0401817,0,0.363465482,0.14926315,0.29396465,0.037395079,0.004582372,0.002766559,9.85E-06,0.000530015,2.52E-07,518.2889863,106.9738234,258.8391582,198.4979471,198.4979471,366.4236515,91.06384453,94.40338977,17.72004515,4.919194246,3.605551275,45.66386137,41.37126025,nan,nan,0.121692129,-0.005065502,nan,-0.093322965,0.013629183,-0.02847909,0.172272521,-0.023971374,0.029560333,-0.010054517,0.030227615,-0.033506207,0.011910922,-0.011233052,-37.41861152,423.1675683,0.620297463,2127,78766,3467374,168120592,65846,2016171,78914201,3509469075,2817792,73204841,2545783719,1.02E+11,0.301406102,0.075495927,0.095854896,0.066361445,0.034228357,0.027664171,0.012061193,0.043239281,0.017291333,0.00384025,0.024863898,0.010569818,0.001941672,0.01757251,0.002375007,0.006351753,0.009493057,0.011763925,0.004866354,0.006263792,0.001583607,0.012190117,0.006781212,0.006795722,0.001022808,0.007456559,0.002363274,0.002301711,0.004386979,0.004506013,208.0314998,709.9572167,0,12,12
1,13,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,12777,84364,1486,971,1224,649,1333.177976,802.1508961,12777,-1.16E-10,37631249.28,987647432.6,4.13E-10,22539915.86,229148473.2,66457621148,50800481.07,278499387.6,1.22E+11,2.58E+12,39.85196332,46023,0.832904362,127.5467823,-2,0.151450856,0.025092867,0.541689395,0.082758973,0.001932263,0.004750032,6.54E-06,-0.000130296,-1.28E-05,5298.417391,1622.748012,2945.233567,-1764.100795,-1764.100795,3975.931836,291.1609147,336.8159735,18.97366596,4.032840287,3,191.5457038,161.1333863,nan,nan,0.230510571,0.053521676,nan,0.138068466,0.012417802,0.031860905,0.311178824,0.015092181,0.058324619,0.010948676,-0.005923916,0.11981546,0.016883737,0.028509827,36.85763084,2529.555662,0.277622059,12777,1394967,189930923,29940928461,1956809,236180362,34238964324,5.53E+12,350487533,45448035498,6.82E+12,1.11E+15,0.143401487,0.00644731,0.072831502,0.01878809,0.008116376,0.003490379,0.03292414,0.019798893,0.011136153,0.009774405,0.000138616,0.00353672,0.013416564,0.017552568,0.005901979,0.007044508,0.002603727,0.000854497,0.00658335,0.003710654,3.99E-05,0.013266063,0.002888663,0.006090309,0.004502733,0.000775308,0.0031583,0.005650019,0.005240693,0.001405185,1333.177976,802.1508961,0,13,13
1,14,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,10976,53448,1088,885,884,623,976.1483236,747.9146319,10976,-8.73E-11,18580464.53,60130377.17,4.51E-10,2612202.979,-385434011.7,28062575964,38173503.01,-189975164.4,72223978905,-1.25E+12,41.26530068,35264,0.725586186,118.2162309,-2,0.205358479,0.024233435,0.471094497,0.028330697,0.007638959,0.002646907,-4.18E-06,0.000441033,1.11E-05,3509.091663,1661.641531,1692.826579,-237.9922539,-237.9922539,3477.906615,236.9503463,269.235956,16.2788206,3.638293432,3,166.7979139,163.05295,nan,nan,0.154229827,0.004764131,nan,0.021682968,-0.030537944,0.021222436,0.31686467,-0.015051736,0.054619675,-0.009049858,-0.019871107,0.01382761,-0.025242358,0.01138404,7.465156682,2385.720092,0.311252269,10976,1011420,111781122,13784890698,1371063,128953360,14059083950,1.71E+12,209439333,19762113018,2.13E+12,2.56E+14,0.185234288,0.010005719,0.082591476,0.017707025,0.014325256,0.004440869,0.014197581,0.01751918,0.005230067,0.012825258,0.009844476,0.009663076,0.008043321,0.012275394,0.007874679,0.005071255,0.001652139,0.013713973,0.013743363,0.005190036,0.011170172,0.005131782,0.00584406,0.006773915,0.002560936,0.00985332,0.011013568,0.011067463,0.003001357,0.001154449,976.1483236,747.9146319,0,14,14
1,15,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,10101,35800,1861,930,1682,730,1779.009108,842.5221265,10101,4.07E-10,18060589.16,-531352162,4.37E-11,1470359.964,-18205727.15,5945717969,20364634.3,158415597.8,28409202512,-1.36E+11,33.71795207,27923,0.420971844,113.4063166,-5,0.282150838,0.029657792,0.376606368,0.001340657,0.010899465,0.003141567,-1.80E-05,0.000100616,3.65E-06,2086.974445,1717.126482,1788.000115,-145.565782,-145.565782,2016.100812,182.7336617,209.5375861,23.53720459,4.720648487,3,177.2250591,165.7528996,nan,nan,0.177012188,-0.051816912,nan,0.014411027,-0.001775404,0.005769142,0.19959418,0.015448525,0.027565503,-0.001316969,-0.040873248,-0.001580325,-0.003372463,0.000228169,25.96070417,2068.796211,0.361744798,10101,979889,113118747,13946279873,1136586,111729554,12995432852,1.61E+12,148255708,14871465648,1.74E+12,2.17E+14,0.265620748,0.025391276,0.093870745,0.01013959,0.034363672,0.023587633,0.002963635,0.016643543,0.005476254,0.024793344,0.022211037,0.0015207,0.00300322,0.00556394,0.007657314,0.004796165,0.008141477,0.010416892,0.011421669,0.007906517,0.001519695,0.004228494,0.011514961,0.007356727,0.002184258,0.005964691,0.00315086,0.011505452,0.010332927,0.001207121,1779.009108,842.5221265,0,15,15
1,16,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/KO_MD/14-1-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,14-1-1,0,slice1,7675,44312,1326,1056,1135,824,1242.994267,929.3661238,7675,-7.28E-11,8607181.748,-206178121.7,-1.09E-10,6316267.109,-35863149.95,24986936500,20117117.19,246168817.1,25628743004,2.19E+11,25.34179746,26364,0.86374095,98.85400096,-2,0.173203647,0.0394605,0.48763253,0.084170102,0.045361321,0.006631304,8.43E-05,0.001541697,7.83E-05,2984.628557,757.9511098,1121.456905,-822.9663986,-822.9663986,2621.122761,218.5270164,241.7602118,22.627417,4.568807387,3,144.2321185,110.1236476,nan,nan,0.146118164,-0.039952745,nan,0.107226892,-0.006949483,0.055268523,0.341514366,0.047702054,0.056688133,0.00552974,0.08801274,0.059194997,0.018458645,0.02947509,23.83113712,1563.373808,0.291116674,7675,828856,98118878,12249150766,808685,93649611,11666783969,1.53E+12,105325121,12951719231,1.68E+12,2.28E+14,0.165926439,0.022134771,0.075667213,0.024664703,0.024290766,0.008697202,0.026789433,0.025114377,0.004210211,0.017455007,0.01029754,0.006354225,0.014078245,0.014342647,0.001653226,0.00723928,0.012718991,0.005944843,0.007547751,0.000764431,0.006207694,0.00862396,0.003025843,0.005582205,0.004123462,0.011592329,0.004381956,0.005805613,0.000145923,0.003254178,1242.994267,929.3661238,0,16,16
